"Total de registros", 899
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2CENTRO","2450","104560","C2C-ASTURI-104560-2450-FIJA","8"
"C2CENTRO","2450","104558","C2C-ASTURI-104558-2450-FIJA","8"
"C2CENTRO","2450","104559","C2C-ASTURI-104559-2450-FIJA","8"
"C2CENTRO","8058","8058","C2C-TLATEL-8058-8058-PTZ","8"
"C2CENTRO","10122","122663","C2C-CENTRO-122663-10122-FIJA","8"
"C2CENTRO","9291","118088","C2C-ASTURI-118088-9291-FIJA","8"
"C2CENTRO","2450","2450","C2C-ASTURI-2450-2450-PTZ","8"
"C2CENTRO","2450","104557","C2C-ASTURI-104557-2450-FIJA","8"
"C2CENTRO","9291","118087","C2C-ASTURI-118087-9291-FIJA","8"
"C2CENTRO","9291","9291","C2C-ASTURI-9291-9291-PTZ","8"
"C2CENTRO","10033","10033","C2C-ASTURI-10033-10033-PTZ-20M","7"
"C2CENTRO","10123","122670","C2C-CENTRO-122670-10123-FIJA","7"
"C2CENTRO","9289","122522","C2C-ASTURI-122522-9289-FIJA","7"
"C2CENTRO","9509","122633","C2C-BUENAV-122633-9509-FIJA","7"
"C2CENTRO","7971","122399","C2C-TLATEL-122399-7971-FIJA","7"
"C2CENTRO","9157","122486","C2C-CENTRO-122486-9157-FIJA","7"
"C2CENTRO","10167","122717","C2C-ASTURI-122717-10167-FIJA","7"
"C2CENTRO","10136","122695","C2C-ALAMED-122695-10136-FIJA","7"
"C2CENTRO","2506","115633","C2C-ALAMED-115633-2506-FIJA","7"
"C2CENTRO","7744","7744","C2C-TLATEL-7744-7744-PTZ","7"
"C2CENTRO","8058","122415","C2C-TLATEL-122415-8058-FIJA","7"
"C2CENTRO","2293","122010","C2C-ASTURI-122010-2293-FIJA","7"
"C2CENTRO","2255","2255","C2C-MORELO-2255-2255-PTZ","7"
"C2CENTRO","7738","7738","C2C-TLATEL-7738-7738-PTZ","7"
"C2CENTRO","9111","122474","C2C-ASTURI-122474-9111-FIJA","7"
"C2CENTRO","9157","122483","C2C-CENTRO-122483-9157-FIJA","7"
"C2CENTRO","2543","121132","C2C-CENTRO-121132-2543-FIJA","7"
"C2CENTRO","8060","122419","C2C-TLATEL-122419-8060-FIJA","7"
"C2CENTRO","2447","2447","C2C-CENTRO-2447-2447-PTZ","7"
"C2CENTRO","6650","122259","C2C-ASTURI-122259-6650-FIJA","7"
"C2CENTRO","9289","122521","C2C-ASTURI-122521-9289-FIJA","6"
"C2CENTRO","10167","122718","C2C-ASTURI-122718-10167-FIJA","6"
"C2CENTRO","9509","122631","C2C-BUENAV-122631-9509-FIJA","6"
"C2CENTRO","10172","130233","C2C-ASTURI-130233-10172-FIJA","6"
"C2CENTRO","10172","130236","C2C-ASTURI-130236-10172-FIJA","6"
"C2CENTRO","9422","9422","C2C-TLATEL-9422-9422-PTZ","6"
"C2CENTRO","2234","121997","C2C-BUENAV-121997-2234-FIJA","6"
"C2CENTRO","2255","121999","C2C-MORELO-121999-2255-FIJA","6"
"C2CENTRO","2579","104669","C2C-ROMA-104669-2579-FIJA","6"
"C2CENTRO","2579","104672","C2C-ROMA-104672-2579-FIJA","6"
"C2CENTRO","6726","6726","C2C-MORELO-6726-6726-PTZ","6"
"C2CENTRO","10484","122723","C2C-CENTRO-122723-10484-FIJA","6"
"C2CENTRO","8057","122414","C2C-TLATEL-122414-8057-FIJA","6"
"C2CENTRO","2506","115635","C2C-ALAMED-115635-2506-FIJA","6"
"C2CENTRO","7741","7741","C2C-TLATEL-7741-7741-PTZ-20M","6"
"C2CENTRO","10608","10608","C2C-TLATEL-10608-10608-PTZ","6"
"C2CENTRO","502","101333","C2C-ASTURI-101333-502-FIJA","6"
"C2CENTRO","2609","116386","C2C-ROMA-116386-2609-FIJA","6"
